alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,,
0.04,1,0.89,0.401408031,0.513856477,,,,
0.04,1,0.9,0.401398966,0.513862532,,,,
0.04,1,0.91,0.401404897,0.513859021,,,,
0.04,1,0.92,0.401413111,0.513858098,,,,
0.04,1,0.93,0.401434615,0.513830769,,,,
0.04,1,0.94,0.401460358,0.513813811,,,,
0.04,1,0.95,0.401431378,0.513846429,,,,
0.04,1,0.96,0.401450891,0.513830789,,,,
0.04,1,0.97,0.401463706,0.51381269,,,,
0.04,1,0.98,0.401487848,0.513781519,,,,
0.04,1,0.99,0.401509091,0.513767677,,,,
0.05,1,0.01,0.401456675,0.513826952,,,,
0.05,1,0.02,0.401380151,0.513924121,,,,
0.05,1,0.03,0.401269674,0.514038095,,,,
0.05,1,0.04,0.401248,0.514051,,,,
0.05,1,0.05,0.401229925,0.514062843,,,,
0.05,1,0.06,0.401155473,0.514156219,,,,
0.05,1,0.07,0.401100248,0.514213648,,,,
0.05,1,0.08,0.401012129,0.514297772,,,,
0.05,1,0.09,0.40094642,0.514372099,,,,
0.05,1,0.1,0.400883498,0.514441133,,,,
0.05,1,0.11,0.400842015,0.514486241,,,,
0.05,1,0.12,0.400826716,0.514505882,,,,
0.05,1,0.13,0.400818337,0.51451198,,,,
0.05,1,0.14,0.400771951,0.514548537,,,,
0.05,1,0.15,0.400732603,0.514583942,,,,
0.05,1,0.16,0.400715291,0.514590049,,,,
0.05,1,0.17,0.400686683,0.514602663,,,,
0.05,1,0.18,0.400683333,0.514614976,,,,
0.05,1,0.19,0.400617108,0.514679518,,,,
0.05,1,0.2,0.40059351,0.514716106,,,,
0.05,1,0.21,0.400554197,0.514773141,,,,
0.05,1,0.22,0.400534211,0.514797608,,,,
0.05,1,0.23,0.40053031,0.514790215,,,,
0.05,1,0.24,0.400493571,0.514839286,,,,
0.05,1,0.25,0.400456295,0.514885273,,,,
0.05,1,0.26,0.400423934,0.514921801,,,,
0.05,1,0.27,0.400385343,0.514971395,,,,
0.05,1,0.28,0.40038066,0.514979481,,,,
0.05,1,0.29,0.400369882,0.514980235,,,,
0.05,1,0.3,0.40034554,0.515002113,,,,
0.05,1,0.31,0.400290398,0.51505808,,,,
0.05,1,0.32,0.400265421,0.515075,,,,
0.05,1,0.33,0.400220513,0.51513007,,,,
0.05,1,0.34,0.400202558,0.515145814,,,,
0.05,1,0.35,0.40017819,0.515156381,,,,
0.05,1,0.36,0.400162731,0.515168981,,,,
0.05,1,0.37,0.400127714,0.515213395,,,,
0.05,1,0.38,0.400120046,0.515222811,,,,
0.05,1,0.39,0.400108966,0.515230115,,,,
0.05,1,0.4,0.400070872,0.515291972,,,,
0.05,1,0.41,0.400046911,0.515310526,,,,
0.05,1,0.42,0.400053196,0.51531621,,,,
0.05,1,0.43,0.40005877,0.515317995,,,,
0.05,1,0.44,0.400047045,0.515331818,,,,
0.05,1,0.45,0.400034014,0.515353741,,,,
0.05,1,0.46,0.399960181,0.515433484,,,,
0.05,1,0.47,0.399956659,0.515435666,,,,
0.05,1,0.48,0.399922748,0.515476802,,,,
0.05,1,0.49,0.399936854,0.515472135,,,,
0.05,1,0.5,0.399953587,0.515444619,,,,
0.05,1,0.51,0.399963535,0.515442953,,,,
0.05,1,0.52,0.399952679,0.515468527,,,,
0.05,1,0.53,0.399956793,0.51546392,,,,
0.05,1,0.54,0.399960222,0.515460667,,,,
0.05,1,0.55,0.399956541,0.515462084,,,,
0.05,1,0.56,0.399939381,0.515483407,,,,
0.05,1,0.57,0.399913907,0.515527594,,,,
0.05,1,0.58,0.399900661,0.515540749,,,,
0.05,1,0.59,0.399857582,0.515597582,,,,
0.05,1,0.6,0.399818421,0.515651096,,,,
0.05,1,0.61,0.39981488,0.515659737,,,,
0.05,1,0.62,0.399810044,0.515671397,,,,
0.05,1,0.63,0.399815904,0.515674074,,,,
0.05,1,0.64,0.399802826,0.515686087,,,,
0.05,1,0.65,0.399796529,0.515684599,,,,
0.05,1,0.66,0.399783333,0.515694805,,,,
0.05,1,0.67,0.399761555,0.515698272,,,,
0.05,1,0.68,0.399755603,0.515710776,,,,
0.05,1,0.69,0.399765806,0.515695269,,,,
0.05,1,0.7,0.399754936,0.515700858,,,,
0.05,1,0.71,0.399748608,0.515725054,,,,
0.05,1,0.72,0.39977265,0.515688034,,,,
0.05,1,0.73,0.399773987,0.515686994,,,,
0.05,1,0.74,0.399783191,0.515674468,,,,
0.05,1,0.75,0.399806157,0.515637155,,,,
0.05,1,0.76,0.399809958,0.515635805,,,,
0.05,1,0.77,0.399787315,0.515667442,,,,
0.05,1,0.78,0.39979346,0.515667932,,,,
0.05,1,0.79,0.399833263,0.515610947,,,,
0.05,1,0.8,0.399860504,0.515576471,,,,
0.05,1,0.81,0.39987631,0.515554298,,,,
0.05,1,0.82,0.399856276,0.515590377,,,,
0.05,1,0.83,0.399864927,0.515581211,,,,
0.05,1,0.84,0.39987625,0.515562708,,,,
0.05,1,0.85,0.399867775,0.515569439,,,,
0.05,1,0.86,0.399865145,0.515579253,,,,
0.05,1,0.87,0.399886957,0.515561698,,,,
0.05,1,0.88,0.399905785,0.515537603,,,,
0.05,1,0.89,0.399922474,0.515527423,,,,
0.05,1,0.9,0.399934568,0.515523457,,,,
0.05,1,0.91,0.399934908,0.515530801,,,,
0.05,1,0.92,0.399939959,0.51552541,,,,
0.05,1,0.93,0.399940082,0.515515133,,,,
0.05,1,0.94,0.399964898,0.515493469,,,,
0.05,1,0.95,0.399982485,0.515467821,,,,
0.05,1,0.96,0.399993089,0.51545752,,,,
0.05,1,0.97,0.400015213,0.515430629,,,,
0.05,1,0.98,0.400019028,0.515438866,,,,
0.05,1,0.99,0.400002828,0.515450505,,,,
0.06,1,0.01,0.399947581,0.515508871,,,,
0.06,1,0.02,0.399932797,0.515524547,,,,
0.06,1,0.03,0.399885944,0.515567068,,,,
